group,variable,value
Breaks,12:30,0
Breaks,12:40,0
Breaks,12:50,0
Breaks,13:00,0
Breaks,13:10,0
Breaks,13:20,100
Breaks,13:30,0
Breaks,13:40,0
Breaks,13:50,0
Breaks,14:00,0
Breaks,14:10,0
Breaks,14:20,0
Breaks,14:30,0
Breaks,14:40,0
Breaks,14:50,0
Breaks,15:00,0
Breaks,15:10,0
Breaks,15:20,0
Breaks,15:30,0
Breaks,15:40,0
Breaks,15:50,0
Breaks,16:00,0
Breaks,16:10,0
Breaks,16:20,0
Breaks,16:30,0
Breaks,16:40,100
Breaks,16:50,0
Breaks,17:00,0
Breaks,17:10,0
Breaks,17:20,0
Breaks,17:30,0
Breaks,17:40,0
Breaks,17:50,0
Breaks,18:00,0
Breaks,18:10,0
Breaks,18:20,0
Breaks,18:30,0
Breaks,18:40,0
Breaks,18:50,0
Breaks,19:00,0
Blaze,12:30,0
Blaze,12:40,0
Blaze,12:50,0
Blaze,13:00,0
Blaze,13:10,0
Blaze,13:20,0
Blaze,13:30,0
Blaze,13:40,0
Blaze,13:50,0
Blaze,14:00,0
Blaze,14:10,0
Blaze,14:20,0
Blaze,14:30,0
Blaze,14:40,0
Blaze,14:50,0
Blaze,15:00,0
Blaze,15:10,0
Blaze,15:20,0
Blaze,15:30,0
Blaze,15:40,0
Blaze,15:50,0
Blaze,16:00,0
Blaze,16:10,0
Blaze,16:20,0
Blaze,16:30,0
Blaze,16:40,0
Blaze,16:50,0
Blaze,17:00,0
Blaze,17:10,0
Blaze,17:20,0
Blaze,17:30,0
Blaze,17:40,0
Blaze,17:50,0
Blaze,18:00,0
Blaze,18:10,10
Blaze,18:20,10
Blaze,18:30,10
Blaze,18:40,10
Blaze,18:50,10
Blaze,19:00,100
Neighbourhood,12:30,0
Neighbourhood,12:40,0
Neighbourhood,12:50,0
Neighbourhood,13:00,0
Neighbourhood,13:10,0
Neighbourhood,13:20,0
Neighbourhood,13:30,0
Neighbourhood,13:40,0
Neighbourhood,13:50,0
Neighbourhood,14:00,0
Neighbourhood,14:10,0
Neighbourhood,14:20,0
Neighbourhood,14:30,0
Neighbourhood,14:40,0
Neighbourhood,14:50,0
Neighbourhood,15:00,0
Neighbourhood,15:10,0
Neighbourhood,15:20,0
Neighbourhood,15:30,0
Neighbourhood,15:40,0
Neighbourhood,15:50,0
Neighbourhood,16:00,0
Neighbourhood,16:10,0
Neighbourhood,16:20,0
Neighbourhood,16:30,0
Neighbourhood,16:40,0
Neighbourhood,16:50,0
Neighbourhood,17:00,0
Neighbourhood,17:10,0
Neighbourhood,17:20,0
Neighbourhood,17:30,0
Neighbourhood,17:40,0
Neighbourhood,17:50,0
Neighbourhood,18:00,100
Neighbourhood,18:10,100
Neighbourhood,18:20,100
Neighbourhood,18:30,100
Neighbourhood,18:40,100
Neighbourhood,18:50,100
Neighbourhood,19:00,0
Daniel Caesar,12:30,0
Daniel Caesar,12:40,0
Daniel Caesar,12:50,0
Daniel Caesar,13:00,0
Daniel Caesar,13:10,0
Daniel Caesar,13:20,0
Daniel Caesar,13:30,0
Daniel Caesar,13:40,0
Daniel Caesar,13:50,0
Daniel Caesar,14:00,0
Daniel Caesar,14:10,0
Daniel Caesar,14:20,0
Daniel Caesar,14:30,0
Daniel Caesar,14:40,0
Daniel Caesar,14:50,0
Daniel Caesar,15:00,0
Daniel Caesar,15:10,0
Daniel Caesar,15:20,0
Daniel Caesar,15:30,0
Daniel Caesar,15:40,0
Daniel Caesar,15:50,0
Daniel Caesar,16:00,0
Daniel Caesar,16:10,0
Daniel Caesar,16:20,0
Daniel Caesar,16:30,0
Daniel Caesar,16:40,0
Daniel Caesar,16:50,0
Daniel Caesar,17:00,0
Daniel Caesar,17:10,0
Daniel Caesar,17:20,0
Daniel Caesar,17:30,0
Daniel Caesar,17:40,0
Daniel Caesar,17:50,0
Daniel Caesar,18:00,0
Daniel Caesar,18:10,90
Daniel Caesar,18:20,90
Daniel Caesar,18:30,90
Daniel Caesar,18:40,90
Daniel Caesar,18:50,90
Daniel Caesar,19:00,0
LEON,12:30,0
LEON,12:40,0
LEON,12:50,0
LEON,13:00,0
LEON,13:10,0
LEON,13:20,0
LEON,13:30,0
LEON,13:40,0
LEON,13:50,0
LEON,14:00,0
LEON,14:10,0
LEON,14:20,0
LEON,14:30,0
LEON,14:40,0
LEON,14:50,0
LEON,15:00,0
LEON,15:10,0
LEON,15:20,0
LEON,15:30,0
LEON,15:40,0
LEON,15:50,0
LEON,16:00,0
LEON,16:10,0
LEON,16:20,0
LEON,16:30,0
LEON,16:40,0
LEON,16:50,0
LEON,17:00,0
LEON,17:10,0
LEON,17:20,0
LEON,17:30,0
LEON,17:40,0
LEON,17:50,0
LEON,18:00,80
LEON,18:10,80
LEON,18:20,80
LEON,18:30,80
LEON,18:40,80
LEON,18:50,80
LEON,19:00,0
SuperDuperKyle,12:30,0
SuperDuperKyle,12:40,0
SuperDuperKyle,12:50,0
SuperDuperKyle,13:00,0
SuperDuperKyle,13:10,0
SuperDuperKyle,13:20,0
SuperDuperKyle,13:30,0
SuperDuperKyle,13:40,0
SuperDuperKyle,13:50,0
SuperDuperKyle,14:00,0
SuperDuperKyle,14:10,0
SuperDuperKyle,14:20,0
SuperDuperKyle,14:30,0
SuperDuperKyle,14:40,0
SuperDuperKyle,14:50,0
SuperDuperKyle,15:00,0
SuperDuperKyle,15:10,0
SuperDuperKyle,15:20,0
SuperDuperKyle,15:30,0
SuperDuperKyle,15:40,0
SuperDuperKyle,15:50,0
SuperDuperKyle,16:00,0
SuperDuperKyle,16:10,0
SuperDuperKyle,16:20,0
SuperDuperKyle,16:30,0
SuperDuperKyle,16:40,0
SuperDuperKyle,16:50,0
SuperDuperKyle,17:00,0
SuperDuperKyle,17:10,0
SuperDuperKyle,17:20,0
SuperDuperKyle,17:30,0
SuperDuperKyle,17:40,0
SuperDuperKyle,17:50,100
SuperDuperKyle,18:00,10
SuperDuperKyle,18:10,10
SuperDuperKyle,18:20,10
SuperDuperKyle,18:30,10
SuperDuperKyle,18:40,10
SuperDuperKyle,18:50,0
SuperDuperKyle,19:00,0
Kali Uchis,12:30,0
Kali Uchis,12:40,0
Kali Uchis,12:50,0
Kali Uchis,13:00,0
Kali Uchis,13:10,0
Kali Uchis,13:20,0
