,Breaks,Future of Music,SunBathe,Liz Cooper & the Stampede,Lucid Aisle,Naked Giants,Llyod and Saviour,LarsLuna,Sportscourt,The Suffers,Tispur,Teddy and the Rough Riders,Jared Mees,Illicit Nature,Blood Lemon,Moon Palace,Wild Spells,Mains and Monitors,The Undercover Dream Lovers,Dolphin Midwives,Furit & Flowers,And And,Ivy Wild,Pinky Pinky,Built to Spill,Frankie,Mertle,Swarm Beating,Billy Moon,Childspeak,Whiskey Sasquatch,Audio Moonshine,Hers,Boise,Cosmonautical,Spirit Award,K,Anna Tivel,ACUDETH,Jacq Maliq,Motherhood,Bloods,Karen Meat,Bugg,Laura Veirs,Balms,Burl Haggard,Rosie Tucker,Black Mountain,Wildermiss,1788-L,Bibi Mcill,Spooky Mansion,Ana Lete,Brooke Would,Cumulus,Bibi McGill,Why Bonnie,Bitch'n,Naked Giants,King Ropes,Lander,Styles in Black,Aan,Chame & OG,Drug Apts,Smokey Brights,Jack Burton,Whitney Ballen,Delta Mud,Ekali,Frim Fram 4,Knuckle Pups,Sparatik,Chris King & the gutterballs,Ryan Peck,Cavegreen,Mostly Muff,Madge,Vertical Scratchers,Axiom Tha Wyze,Night Beats,Auzomatik,Shadowlands,Dentist,Deuce Parks,Sheep Bridge Jumpers,Joshy Soul,Bodies on the Beach,All Star Opera,Deeveaux,The House of Aura,Video Age,good Not Great,Small Million,The Golden Fleece,Mike Krol,Ponderay,Cherry Glazerr,Sol Rising,New Move,Lee Corey Oswald,Hillstomp,Effy K,Spooky Mansion,Zee Will,Kastle,Effy K,Anemone,Juice,Deejay Fangy,Spirit Award,The Love Bunch,Lonesome Jetboat Ramblers,Jared Mees,The Brents
Breaks,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0
Future of Music,0,0,30,0,30,30,30,30,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,30,0,30,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,0,0,0
SunBathe,0,0,0,30,30,0,0,30,30,0,30,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,30,0,0,0,0
Liz Cooper & the Stampede,30,0,30,0,0,30,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,0,30,0,0,30,0,0,0,0,30,0,0,30,0,0,0,30,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,30,30
Lucid Aisle,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,30,30,0,30,30,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,30,0,0,0,0,30,0,30,0,0,0,30,0,0,30,0,30,0,0,0,30,30,30,30,30,0,30,0,30,0,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,30,30,30,0,0,0,30,0,30,0,0,0,30,0,0,0,0,0,0,30
Naked Giants,30,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,30,30,0,0,0,30,0,0,0,30,30,30,30,0,30,0,30,0,0,30,30,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,30,30,0,0,30,0,30,0,30,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,30,0
Llyod and Saviour,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30,30,0,30,30,0,30,30,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,30,0,30,30,0,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,30,0,30,30,0,0,30,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,30
LarsLuna,0,30,0,0,30,0,0,0,30,0,0,0,0,30,0,30,30,0,30,30,30,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,30,0,0,30,30,0,0,0,0,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,30,30,0,0,30,0,30,0,0,0,0,0,0,0,30,30,0,30,30,0,0,30,0,30,0,30,0,0,0,0,0
Sportscourt,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,30,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,30,0,0,0
The Suffers,30,0,0,30,0,0,0,0,0,0,0,0,0,30,30,0,30,30,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,30,0,0,0,30,0,30,0,30,30,0,30,0,0,30,0,0,0,30,30,30,0,0,30,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
