,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM
Breaks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Future of Music,0.527310725,0.175959619,0.59723096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SunBathe,0.132275892,0.841175364,0.465991369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liz Cooper & the Stampede,0,0.30911151,0.208167642,0.340391888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucid Aisle,0,0,0.007731439,0.242318126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked Giants,0,0,0.254444201,0.711905582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llyod and Saviour,0,0,0.061604562,0.154074323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LarsLuna,0,0,0.075229812,0.474771097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sportscourt,0,0,0,0.257806697,0.300673732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Suffers,0,0,0,0.365989134,0.852774868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tispur,0,0,0,0.06983558,0.332755293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy and the Rough Riders,0,0,0,0,0.672376453,0.418637039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Mees,0,0,0,0,0.21049186,0.949798209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illicit Nature,0,0,0,0,0.668344477,0.816066637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood Lemon,0,0,0,0,0,0.885327743,0.890952839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moon Palace,0,0,0,0,0,0.875531264,0.9083286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Spells,0,0,0,0,0,0.017750471,0.733128953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mains and Monitors,0,0,0,0,0,0.549310631,0.682727851,0.274683842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Undercover Dream Lovers,0,0,0,0,0,0.7402522,0.568584241,0.395600254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolphin Midwives,0,0,0,0,0,0,0.684300713,0.851841247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furit & Flowers,0,0,0,0,0,0,0.934895466,0.186873068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And And,0,0,0,0,0,0,0.268759177,0.643527622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivy Wild,0,0,0,0,0,0,0.002985322,0.401125479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinky Pinky,0,0,0,0,0,0,0.12611355,0.419807666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built to Spill,0,0,0,0,0,0,0.362226256,0.628581146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie,0,0,0,0,0,0,0.718696506,0.595541156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mertle,0,0,0,0,0,0,0.003900118,0.95698146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swarm Beating,0,0,0,0,0,0,0.951447584,0.243551782,0.529513223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Moon,0,0,0,0,0,0,0,0,0.089554068,0.455750888,0.809411596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
