,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM
Breaks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Future of Music,0.395718866,0.665301964,0.638022936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SunBathe,0.073946249,0.169093764,0.957842458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liz Cooper & the Stampede,0,0.744462114,0.678370898,0.395305223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucid Aisle,0,0,0.972592001,0.19283896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked Giants,0,0,0.046297391,0.008966532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llyod and Saviour,0,0,0,0.738797347,0.692817666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LarsLuna,0,0,0,0.800663703,0.826733408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sportscourt,0,0,0,0,0.727475024,0.45261564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Suffers,0,0,0,0,0.707826609,0.218143625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tispur,0,0,0,0,0.562982943,0.55975361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy and the Rough Riders,0,0,0,0,0.791147101,0.867360828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Mees,0,0,0,0,0.670191044,0.208644602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illicit Nature,0,0,0,0,0.263859763,0.380389782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood Lemon,0,0,0,0,0,0.595981527,0.173246819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moon Palace,0,0,0,0,0,0.970138002,0.708332734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Spells,0,0,0,0,0,0.319917656,0.27436597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mains and Monitors,0,0,0,0,0,0.228108899,0.655200485,0.271400712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Undercover Dream Lovers,0,0,0,0,0,0.223741762,0.458446005,0.727387823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolphin Midwives,0,0,0,0,0,0,0.763490827,0.802194677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furit & Flowers,0,0,0,0,0,0,0.023384379,0.863879545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And And,0,0,0,0,0,0,0.051013282,0.059670621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivy Wild,0,0,0,0,0,0,0.944406721,0.097167386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinky Pinky,0,0,0,0,0,0,0.33253077,0.097877762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built to Spill,0,0,0,0,0,0,0,0.537222682,0.040424337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie,0,0,0,0,0,0,0,0.45152651,0.834651623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mertle,0,0,0,0,0,0,0,0.347337569,0.959513515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swarm Beating,0,0,0,0,0,0,0,0.543647358,0.898566165,0.144271869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Moon,0,0,0,0,0,0,0,0,0.468787668,0.586497675,0.911183493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Childspeak,0,0,0,0,0,0,0,0,0.60306026,0.100934302,0.637559154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiskey Sasquatch,0,0,0,0,0,0,0,0,0,0.004091578,0.026668239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audio Moonshine,0,0,0,0,0,0,0,0,0,0.083414354,0.65379292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hers,0,0,0,0,0,0,0,0,0,0.583748692,0.122782353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise,0,0,0,0,0,0,0,0,0,0,0.912436722,0.726356316,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmonautical,0,0,0,0,0,0,0,0,0,0,0.111058956,0.59196234,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirit Award,0,0,0,0,0,0,0,0,0,0,0.151589623,0.337003569,0.05640382,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0.244336297,0.618194458,0.516464217,0,0,0,0,0,0,0,0,0,0,0,0
Anna Tivel,0,0,0,0,0,0,0,0,0,0,0.672402137,0.40891672,0.213447921,0,0,0,0,0,0,0,0,0,0,0,0
ACUDETH,0,0,0,0,0,0,0,0,0,0,0,0.75193036,0.832520164,0,0,0,0,0,0,0,0,0,0,0,0
Jacq Maliq,0,0,0,0,0,0,0,0,0,0,0,0.180226438,0.121632395,0,0,0,0,0,0,0,0,0,0,0,0
Motherhood,0,0,0,0,0,0,0,0,0,0,0,0.271523227,0.23400927,0,0,0,0,0,0,0,0,0,0,0,0
Bloods,0,0,0,0,0,0,0,0,0,0,0,0.615902936,0.251568758,0,0,0,0,0,0,0,0,0,0,0,0
Karen Meat,0,0,0,0,0,0,0,0,0,0,0,0.39750292,0.898083455,0,0,0,0,0,0,0,0,0,0,0,0
Bugg,0,0,0,0,0,0,0,0,0,0,0,0.952175684,0.830211886,0,0,0,0,0,0,0,0,0,0,0,0
Laura Veirs,0,0,0,0,0,0,0,0,0,0,0,0.491984963,0.20842296,0,0,0,0,0,0,0,0,0,0,0,0
Balms,0,0,0,0,0,0,0,0,0,0,0,0.309166178,0.614213109,0,0,0,0,0,0,0,0,0,0,0,0
Burl Haggard,0,0,0,0,0,0,0,0,0,0,0,0.398732174,0.870074749,0,0,0,0,0,0,0,0,0,0,0,0
Rosie Tucker,0,0,0,0,0,0,0,0,0,0,0,0.140329126,0.10528286,0,0,0,0,0,0,0,0,0,0,0,0
Black Mountain,0,0,0,0,0,0,0,0,0,0,0,0.442415012,0.226874386,0.612272409,0,0,0,0,0,0,0,0,0,0,0
Wildermiss,0,0,0,0,0,0,0,0,0,0,0,0.780344526,0.590784878,0.834233264,0,0,0,0,0,0,0,0,0,0,0
1788-L,0,0,0,0,0,0,0,0,0,0,0,0,0.246786541,0.814069037,0,0,0,0,0,0,0,0,0,0,0
Bibi Mcill,0,0,0,0,0,0,0,0,0,0,0,0,0.172836637,0.628220534,0,0,0,0,0,0,0,0,0,0,0
Spooky Mansion,0,0,0,0,0,0,0,0,0,0,0,0,0.563509688,0.299531797,0,0,0,0,0,0,0,0,0,0,0
Ana Lete,0,0,0,0,0,0,0,0,0,0,0,0,0.907145483,0.489305785,0,0,0,0,0,0,0,0,0,0,0
Brooke Would,0,0,0,0,0,0,0,0,0,0,0,0,0.584252989,0.588563309,0,0,0,0,0,0,0,0,0,0,0
Cumulus,0,0,0,0,0,0,0,0,0,0,0,0,0.984858572,0.846637279,0,0,0,0,0,0,0,0,0,0,0
Bibi McGill,0,0,0,0,0,0,0,0,0,0,0,0,0.424121243,0.051467964,0,0,0,0,0,0,0,0,0,0,0
Why Bonnie,0,0,0,0,0,0,0,0,0,0,0,0,0.506565395,0.003392553,0,0,0,0,0,0,0,0,0,0,0
Bitch'n,0,0,0,0,0,0,0,0,0,0,0,0,0.486812362,0.57186869,0,0,0,0,0,0,0,0,0,0,0
Naked Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455697138,0.629646134,0,0,0,0,0,0,0,0,0,0
King Ropes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703238614,0.683293983,0,0,0,0,0,0,0,0,0,0
Lander,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758809548,0.874947827,0,0,0,0,0,0,0,0,0,0
Styles in Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220227687,0.602058247,0,0,0,0,0,0,0,0,0,0
Aan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860553553,0.946999144,0.877388925,0,0,0,0,0,0,0,0,0
Chame & OG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728947187,0.391661278,0.688785961,0,0,0,0,0,0,0,0,0
Drug Apts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817462363,0.56935965,0.225624425,0,0,0,0,0,0,0,0,0
Smokey Brights,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770421477,0.86146637,0.605996723,0,0,0,0,0,0,0,0,0
Jack Burton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585972837,0.847259405,0.875736408,0,0,0,0,0,0,0
Whitney Ballen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464389602,0.945916576,0.62626619,0,0,0,0,0,0,0
